0,1.58333,,1.17158,0.855061,0.584795
1,1.40833,,1.19121,0.873669,0.632423
2,1.59167,,1.11936,0.761907,0.628505
3,1.575,,1.02259,0.723449,0.555626
5,1.64167,,1.14561,0.818433,0.620111

10,1.66667,,1.31822,1.11544,0.518805
12,1.73333,,1.17726,0.898178,0.608502
13,1.525,,1.0849,0.740614,0.629701
14,2.20833,,1.17834,0.768696,0.726301
15,1.45,,1.29982,0.943093,0.675911

20,1.43333,,1.20007,0.892623,0.656838
21,1.73333,,1.35673,1.13977,0.509858
22,1.23333,,0.978476,0.769487,0.449265
23,1.175,,1.00694,0.826429,0.404636
24,1.61667,,1.0865,0.792368,0.51829

30,1.15,,1.47535,1.16836,0.660538
31,1.3,,1.19264,0.928885,0.550426
33,1.61667,,1.36165,0.999958,0.678808
35,1.475,,1.22486,0.865913,0.643283
36,1.40833,,1.21534,0.965527,0.566778

40,1.3,,1.60824,1.45324,0.46404
41,0.916667,,1.34324,1.17758,0.451147
47,1.14167,,1.29354,1.0994,0.494848
48,1.3,,1.38434,1.11196,0.595913
49,1.11667,,1.19569,0.954502,0.51476

50,0.933333,,1.65175,1.47028,0.497021
56,1.04167,,1.53056,1.27831,0.614244
57,1.04167,,1.37048,1.12808,0.578837
58,1.03333,,1.38109,1.23434,0.419173
59,1.20833,,1.14349,0.963671,0.424583

